"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 15:57:51 GMT 2024","Wed Oct 16 15:57:52 GMT 2024","824","","","","","","Hiding a Visible Text Box",""
"passed","Wed Oct 16 15:57:42 GMT 2024","Wed Oct 16 15:57:46 GMT 2024","3919","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Wed Oct 16 15:57:50 GMT 2024","Wed Oct 16 15:57:50 GMT 2024","790","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Wed Oct 16 15:57:46 GMT 2024","Wed Oct 16 15:57:46 GMT 2024","715","","","","","","Selecting an Option in a Radio Button",""
"passed","Wed Oct 16 15:57:52 GMT 2024","Wed Oct 16 15:57:53 GMT 2024","954","","","","","","Toggling Visibility of a Text Box",""
"passed","Wed Oct 16 15:57:50 GMT 2024","Wed Oct 16 15:57:51 GMT 2024","615","","","","","","Checking the Value of the Third item in the Price Table",""
"passed","Wed Oct 16 15:57:46 GMT 2024","Wed Oct 16 15:57:47 GMT 2024","828","","","","","","Choosing a Country from a Dropdown Menu",""
"broken","Wed Oct 16 15:57:49 GMT 2024","Wed Oct 16 15:57:50 GMT 2024","818","","","","","","Displaying a Custom Alert with the Name",""
"passed","Wed Oct 16 15:57:25 GMT 2024","Wed Oct 16 15:57:29 GMT 2024","4482","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Wed Oct 16 15:57:29 GMT 2024","Wed Oct 16 15:57:31 GMT 2024","1920","","","","","","Navigating to a Support Link Within an Iframe",""
"passed","Wed Oct 16 15:57:31 GMT 2024","Wed Oct 16 15:57:42 GMT 2024","10749","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Wed Oct 16 15:57:47 GMT 2024","Wed Oct 16 15:57:48 GMT 2024","763","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Wed Oct 16 15:57:48 GMT 2024","Wed Oct 16 15:57:49 GMT 2024","818","","","","","","Verifying Multiple Checkbox Selections",""
